type,x,y,time
mouse,598,295,1775454346422
mouse,595,295,1775454346429
mouse,592,295,1775454346435
mouse,589,295,1775454346442
mouse,588,295,1775454346450
mouse,586,295,1775454346456
mouse,583,295,1775454346469
mouse,579,295,1775454346475
mouse,573,296,1775454346483
mouse,569,297,1775454346487
mouse,561,297,1775454346493
mouse,551,298,1775454346499
mouse,532,298,1775454346506
mouse,502,298,1775454346512
mouse,467,297,1775454346519
mouse,430,293,1775454346526
mouse,401,289,1775454346533
mouse,378,285,1775454346540
mouse,359,279,1775454346547
mouse,342,273,1775454346560
mouse,331,268,1775454346566
mouse,322,264,1775454346572
mouse,316,260,1775454346579
mouse,312,256,1775454346584
mouse,308,253,1775454346590
mouse,305,249,1775454346596
mouse,303,245,1775454346602
mouse,302,241,1775454346609
mouse,301,234,1775454346616
mouse,300,227,1775454346623
mouse,363,227,1775454347554
mouse,450,229,1775454347561
mouse,536,229,1775454347568
mouse,617,229,1775454347575
mouse,696,229,1775454347582
mouse,771,231,1775454347589
mouse,844,233,1775454347595
mouse,916,244,1775454347608
mouse,980,252,1775454347614
mouse,1030,261,1775454347621
mouse,1076,271,1775454347626
mouse,1108,277,1775454347633
mouse,1129,283,1775454347639
mouse,1141,288,1775454347644
mouse,1106,271,1775454348208
mouse,1062,256,1775454348214
mouse,1018,239,1775454348221
mouse,972,223,1775454348227
mouse,931,210,1775454348234
mouse,888,201,1775454348241
mouse,843,192,1775454348248
mouse,796,186,1775454348255
mouse,742,178,1775454348262
mouse,688,174,1775454348275
mouse,636,170,1775454348281
mouse,585,165,1775454348287
mouse,544,161,1775454348293
mouse,511,159,1775454348299
mouse,484,159,1775454348305
mouse,462,159,1775454348311
mouse,448,161,1775454348318
mouse,436,166,1775454348325
mouse,428,173,1775454348332
mouse,420,181,1775454348339
mouse,414,189,1775454348345
mouse,391,197,1775454348555
mouse,360,207,1775454348560
mouse,328,216,1775454348567
mouse,298,224,1775454348574
mouse,268,233,1775454348581
mouse,244,238,1775454348588
mouse,222,246,1775454348595
mouse,205,251,1775454348608
mouse,185,258,1775454348614
mouse,171,264,1775454348620
mouse,160,269,1775454348626
mouse,151,273,1775454348632
mouse,145,276,1775454348638
mouse,142,278,1775454348644
mouse,140,281,1775454348651
mouse,139,281,1775454348658
mouse,138,282,1775454348665
mouse,138,283,1775454348681
mouse,138,284,1775454348686
mouse,138,285,1775454348693
mouse,140,289,1775454348700
mouse,143,296,1775454348707
mouse,148,305,1775454348714
mouse,156,313,1775454348721
mouse,163,320,1775454348727
mouse,170,323,1775454348734
mouse,180,323,1775454348747
mouse,188,321,1775454348753
mouse,196,317,1775454348760
mouse,205,311,1775454348765
mouse,212,302,1775454348771
mouse,220,291,1775454348777
mouse,226,275,1775454348784
mouse,230,261,1775454348790
mouse,232,247,1775454348797
mouse,235,232,1775454348804
mouse,235,221,1775454348811
mouse,235,213,1775454348818
mouse,235,207,1775454348824
mouse,235,201,1775454348831
mouse,235,193,1775454348838
mouse,232,185,1775454348845
mouse,232,176,1775454348852
mouse,228,165,1775454348859
mouse,226,155,1775454348866
mouse,223,145,1775454348873
mouse,220,136,1775454348880
mouse,216,127,1775454348892
mouse,215,119,1775454348899
mouse,212,112,1775454348905
mouse,211,106,1775454348911
mouse,210,101,1775454348917
mouse,209,97,1775454348923
mouse,208,95,1775454348929
mouse,208,94,1775454348936
mouse,208,93,1775454348942
mouse,208,92,1775454348950
mouse,207,92,1775454348956
mouse,207,91,1775454348963
mouse,206,90,1775454348970
mouse,206,89,1775454348991
mouse,205,89,1775454348998
mouse,204,89,1775454349026
mouse,204,88,1775454349068
mouse,203,88,1775454349076
mouse,202,88,1775454349092
mouse,202,87,1775454349099
mouse,201,86,1775454349105
mouse,200,86,1775454349111
mouse,200,85,1775454349130
mouse,199,84,1775454349151
mouse,198,84,1775454349158
mouse,198,83,1775454349165
mouse,197,82,1775454349177
mouse,196,81,1775454349186
mouse,196,80,1775454349202
mouse,196,79,1775454349221
mouse,195,79,1775454349238
mouse,195,78,1775454349244
click,195,78,1775454349457
mouse,194,78,1775454351297
mouse,192,80,1775454351305
mouse,190,81,1775454351312
mouse,188,82,1775454351318
mouse,186,83,1775454351334
mouse,184,85,1775454351340
mouse,183,85,1775454351346
mouse,182,87,1775454351353
mouse,180,88,1775454351359
mouse,179,89,1775454351366
mouse,177,90,1775454351373
mouse,176,92,1775454351380
mouse,174,93,1775454351387
mouse,172,94,1775454351394
mouse,171,95,1775454351401
mouse,170,96,1775454351413
mouse,168,97,1775454351420
mouse,167,99,1775454351425
mouse,164,101,1775454351431
mouse,163,101,1775454351437
mouse,161,104,1775454351443
mouse,159,106,1775454351451
mouse,157,108,1775454351457
mouse,156,109,1775454351464
mouse,155,110,1775454351471
